Prix;Surface;Etage;Parking;Balcon;Pièces
191;31;4;1;0;1
170;35;2;0;1;1
199;32;1;1;0;1
210;32;1;1;0;1
112;22;1;0;0;1
140;17;1;0;0;1
205;34;3;1;0;1
180;32;3;1;0;1
198;32;1;0;0;1
190;30;1;1;0;1
155;25;1;1;1;1
193;25;1;1;1;1
180;25;2;1;0;1
195;25;2;0;1;1
188;26;1;0;1;1
185;25;2;1;1;1
252;50;1;1;1;2
285;40;4;1;1;2
206;60;0;1;1;2
293;40;5;1;1;2
255;59;3;1;1;2
267;43;4;1;1;2
276;40;1;1;1;2
285;42;4;1;1;2
242;39;2;1;0;2
294;50;7;1;0;2
217;42;4;1;1;2
219;42;3;1;1;2
260;43;2;1;1;2
207;50;2;1;1;2
227;39;6;1;1;2
249;45;2;0;0;2
340;52;0;1;1;2
343;47;2;1;1;2
279;51;3;0;1;2
276;40;1;1;1;2
288;40;4;1;1;2
295;40;5;1;1;2
276;40;0;1;1;2
266;40;1;0;1;2
277;40;0;0;1;2
267;40;0;1;1;2
266;45;0;1;1;2
276;40;1;1;1;2
276;40;1;1;1;2
265;39;0;1;1;2
265;40;1;1;1;2
206;49;0;1;0;2
249;59;3;1;1;2
265;46;0;1;1;2
295;73;0;0;0;3
297;66;5;1;1;3
305;73;3;1;0;3
429;68;4;1;1;3
278;72;5;0;0;3
273;57;5;1;1;3
289;73;2;1;1;3
336;63;4;2;1;3
360;55;2;1;1;3
294;74;3;1;1;3
283;73;4;1;1;3
270;63;3;1;1;3
278;72;7;0;1;3
239;66;1;0;1;3
257;62;2;0;1;3
305;63;4;0;1;3
310;73;4;1;1;3
278;63;4;0;1;3
279;64;0;1;1;3
314;74;5;1;0;3
273;74;3;1;1;3
323;71;2;1;1;3
252;63;1;0;1;3
399;68;4;1;1;3
294;72;8;1;1;3
305;72;2;1;1;3
279;72;4;1;1;3
283;69;3;1;1;3
299;64;5;1;1;3
339;55;0;1;1;3
216;52;1;0;0;3
289;73;7;1;0;3
249;62;4;0;1;3
270;63;3;0;0;3
410;63;5;1;1;3
330;63;5;2;1;3
332;71;2;1;1;3
360;55;2;1;1;3
289;63;1;0;1;3
336;63;4;1;1;3
294;64;2;0;1;3
289;73;8;1;1;3
330;72;8;1;1;3
360;55;2;1;1;3
275;60;0;0;1;3
269;42;4;0;1;3
226;63;3;0;1;3
314;73;5;1;0;3
242;59;0;1;1;3
257;63;2;1;1;3
240;59;0;0;1;3
460;78;1;0;1;4
379;88;6;1;0;4
315;79;6;1;1;4
332;79;1;0;1;4
481;77;4;1;1;4
496;82;2;2;1;4
487;80;0;1;1;4
249;74;0;0;1;4
329;88;6;1;0;4
335;79;10;1;0;4
308;80;2;0;1;4
331;80;0;0;1;4
279;75;1;0;0;4
260;78;3;0;1;4
310;78;4;1;0;4
310;77;4;1;1;4
379;88;6;1;0;4
285;79;4;0;1;4
399;74;7;2;1;4
324;77;11;1;1;4
350;88;5;1;1;4
315;79;2;0;1;4
475;77;1;1;1;4
330;79;3;0;1;4
335;79;10;1;1;4
315;79;2;1;1;4
342;88;1;1;1;4
315;80;4;1;1;4
297;79;4;0;1;4
440;88;4;1;0;4
369;80;3;0;1;4
442;91;0;1;1;4
344;80;4;1;1;4
320;80;0;0;1;4
365;80;1;1;1;4
